beta,energy,magnet
0.13061,-0.20312,0.04688
0.13061,-0.06250,-0.04688
0.13061,-0.20312,-0.09375
0.13061,-0.23438,0.10938
0.13061,-0.40625,-0.14062
0.14082,-0.45312,0.26562
0.13061,-0.26562,0.03125
0.13061,-0.17188,-0.03125
0.14082,-0.53125,0.29688
0.14082,-0.12500,-0.03125
0.14082,-0.45312,0.26562
0.14082,-0.31250,0.07812
0.14082,-0.21875,-0.03125
0.14082,-0.37500,-0.10938
0.14082,-0.32812,-0.10938
0.14082,-0.35938,0.17188
0.14082,-0.29688,-0.20312
0.14082,-0.67188,-0.34375
0.14082,-0.29688,0.03125
0.14082,-0.18750,0.20312
0.14082,-0.60938,0.31250
0.14082,-0.34375,0.07812
0.14082,-0.20312,0.00000
0.14082,-0.21875,-0.01562
0.14082,-0.12500,0.14062
0.14082,-0.37500,0.17188
0.14082,-0.25000,-0.04688
0.14082,-0.29688,0.06250
0.14082,-0.07812,0.03125
0.14082,-0.48438,-0.20312
0.14082,-0.75000,-0.32812
0.14082,-0.14062,0.14062
0.14082,-0.53125,0.29688
0.14082,-0.29688,-0.01562
0.14082,-0.35938,0.14062
0.14082,-0.20312,-0.03125
0.14082,-0.21875,0.12500
0.14082,-0.12500,0.06250
0.14082,-0.39062,0.26562
0.14082,-0.35938,0.12500
0.14082,-0.15625,0.03125
0.14082,-0.28125,0.20312
0.14082,-0.42188,-0.23438
0.14082,-0.07812,0.04688
0.14082,-0.45312,0.10938
0.14082,-0.31250,0.18750
0.14082,-0.57812,0.31250
0.14082,-0.45312,0.14062
0.14082,-0.31250,0.01562
0.14082,-0.31250,0.07812
0.14082,-0.43750,-0.26562
0.14082,-0.18750,0.14062
0.14082,-0.40625,0.26562
0.14082,-0.35938,-0.07812
0.14082,-0.42188,0.04688
0.14082,-0.14062,-0.04688
0.14082,-0.40625,0.12500
0.14082,-0.39062,0.23438
0.14082,-0.26562,-0.03125
0.14082,-0.56250,0.26562
0.14082,-0.40625,-0.12500
0.14082,-0.20312,0.04688
0.14082,-0.23438,0.14062
0.14082,-0.34375,-0.06250
0.14082,-0.50000,0.18750
0.14082,-0.21875,-0.04688
0.14082,-0.21875,-0.06250
0.14082,-0.40625,-0.14062
0.14082,-0.25000,-0.07812
0.14082,-0.10938,0.12500
0.14082,-0.48438,0.28125
0.14082,-0.37500,-0.04688
0.14082,-0.32812,-0.20312
0.14082,-0.53125,0.12500
0.14082,-0.23438,-0.15625
0.14082,-0.34375,-0.10938
0.14082,-0.32812,0.09375
0.14082,-0.07812,0.01562
0.14082,-0.10938,0.00000
0.14082,-0.21875,-0.01562
0.14082,-0.20312,-0.14062
0.14082,-0.07812,-0.04688
0.14082,-0.10938,0.12500
0.14082,-0.31250,-0.15625
0.14082,-0.56250,0.21875
0.14082,-0.46875,-0.12500
0.14082,-0.53125,-0.26562
0.14082,-0.43750,0.28125
0.14082,-0.26562,0.03125
0.14082,-0.32812,0.04688
0.14082,-0.17188,-0.10938
0.14082,-0.25000,0.25000
0.14082,-0.26562,-0.04688
0.14082,-0.37500,0.15625
0.14082,-0.29688,-0.14062
0.14082,-0.48438,0.01562
0.14082,-0.54688,0.17188
0.14082,-0.28125,-0.07812
0.14082,-0.18750,0.10938
0.14082,-0.20312,0.04688
0.14082,-0.68750,-0.40625
0.14082,-0.85938,-0.39062
0.14082,-0.25000,-0.17188
0.14082,-0.28125,0.00000
0.14082,-0.15625,-0.01562
0.14082,-0.15625,-0.04688
0.14082,-0.42188,0.15625
0.15102,-0.42188,-0.12500
0.15102,-0.45312,-0.03125
0.15102,-0.40625,0.17188
0.15102,-0.28125,-0.01562
0.15102,-0.34375,-0.07812
0.15102,-0.35938,0.20312
0.15102,-0.37500,0.00000
0.15102,-0.20312,0.00000
0.15102,-0.07812,-0.01562
0.15102,-0.32812,-0.18750
0.15102,-0.35938,0.07812
0.15102,-0.37500,0.01562
0.15102,-0.50000,0.06250
0.15102,-0.23438,0.04688
0.15102,-0.40625,-0.17188
0.15102,-0.12500,-0.17188
0.15102,-0.15625,-0.01562
0.15102,0.00000,0.00000
0.15102,-0.60938,0.18750
0.15102,-0.25000,0.04688
0.15102,-0.40625,-0.20312
0.15102,-0.35938,0.17188
0.15102,-0.45312,-0.25000
0.15102,-0.53125,-0.23438
0.15102,-0.71875,-0.37500
0.15102,-0.35938,0.06250
0.15102,-0.39062,-0.21875
0.15102,-0.53125,-0.23438
0.15102,-0.20312,0.15625
0.15102,-0.31250,-0.01562
0.15102,-0.29688,-0.17188
0.15102,-0.37500,-0.14062
0.15102,-0.43750,-0.17188
0.15102,-0.34375,-0.26562
0.15102,-0.29688,-0.10938
0.15102,-0.03125,0.01562
0.15102,-0.06250,0.09375
0.15102,-0.78125,-0.40625
0.15102,-0.37500,-0.07812
0.15102,-0.15625,0.04688
0.15102,-0.53125,0.21875
0.15102,-0.23438,0.10938
0.15102,-0.54688,-0.28125
0.15102,-0.17188,0.10938
0.15102,-0.17188,-0.06250
0.15102,-0.71875,0.32812
0.15102,-0.15625,0.00000
0.15102,-0.26562,-0.21875
0.15102,-0.40625,0.17188
0.15102,-0.09375,0.21875
0.15102,-0.18750,-0.03125
0.15102,-0.21875,-0.06250
0.15102,-0.50000,-0.32812
0.15102,-0.15625,0.10938
0.15102,-0.18750,0.17188
0.15102,-0.14062,0.09375
0.15102,-0.21875,-0.14062
0.15102,-0.42188,-0.12500
0.15102,-0.15625,-0.01562
0.15102,-0.20312,-0.09375
0.15102,-0.34375,-0.09375
0.15102,-0.39062,-0.17188
0.15102,-0.32812,-0.15625
0.15102,-0.18750,-0.07812
0.15102,-0.43750,-0.18750
0.15102,-0.07812,-0.07812
0.15102,-0.35938,0.07812
0.15102,-0.34375,-0.14062
0.15102,-0.07812,-0.06250
0.15102,-0.35938,-0.04688
0.15102,-0.37500,0.00000
0.15102,-0.34375,0.12500
0.15102,-0.50000,-0.17188
0.15102,-0.18750,-0.10938
0.15102,-0.31250,0.00000
0.15102,-0.06250,0.20312
0.15102,-0.29688,0.04688
0.15102,-0.26562,-0.04688
0.15102,-0.45312,0.18750
0.15102,-0.46875,-0.23438
0.15102,-0.20312,0.04688
0.15102,-0.53125,-0.23438
0.15102,-0.28125,0.15625
0.15102,-0.23438,0.01562
0.15102,-0.23438,0.04688
0.15102,-0.21875,0.15625
0.15102,-0.23438,-0.04688
0.15102,-0.21875,-0.12500
0.15102,-0.42188,0.25000
0.15102,-0.37500,0.06250
0.15102,-0.31250,-0.17188
0.15102,-0.34375,0.20312
0.15102,-0.28125,0.03125
0.15102,-0.53125,0.25000
0.15102,-0.25000,-0.03125
0.15102,-0.35938,0.10938
0.15102,-0.04688,-0.09375
0.15102,-0.43750,0.12500
0.15102,-0.03125,-0.12500
0.15102,-0.31250,-0.07812
0.16122,-0.40625,-0.21875
0.16122,-0.87500,-0.35938
0.16122,-0.31250,0.03125
0.16122,-0.21875,0.04688
0.16122,-0.39062,0.15625
0.16122,-0.60938,0.28125
0.16122,-0.57812,-0.23438
0.16122,-0.23438,0.04688
0.16122,-0.29688,0.09375
0.16122,-0.23438,0.18750
0.16122,-0.35938,-0.17188
0.16122,-0.43750,-0.23438
0.16122,-0.53125,0.21875
0.16122,-0.39062,-0.15625
0.16122,-0.37500,0.07812
0.16122,-0.46875,0.17188
0.16122,-0.28125,0.14062
0.16122,-0.21875,0.10938
0.16122,-0.40625,0.00000
0.16122,-0.34375,-0.18750
0.16122,-0.45312,0.18750
0.16122,-0.32812,0.17188
0.16122,-0.20312,0.01562
0.16122,-0.40625,-0.10938
0.16122,-0.26562,-0.18750
0.16122,-0.23438,0.00000
0.16122,-0.50000,0.26562
0.16122,-0.56250,-0.31250
0.16122,-0.60938,-0.28125
0.16122,-0.48438,0.25000
0.16122,-0.26562,-0.17188
0.16122,-0.43750,-0.18750
0.16122,-0.23438,0.04688
0.16122,-0.21875,-0.14062
0.16122,-0.48438,-0.06250
0.16122,-0.26562,0.01562
0.16122,-0.53125,-0.32812
0.16122,-0.29688,-0.15625
0.16122,-0.42188,0.07812
0.16122,-0.26562,-0.07812
0.16122,-0.43750,0.25000
0.16122,-0.29688,0.00000
0.16122,-0.34375,-0.01562
0.16122,-0.53125,0.23438
0.16122,-0.50000,-0.23438
0.16122,0.00000,0.14062
